journal_name,pissn,eissn,impact_factor,best_quartile,all_quartiles
Feministische Studien,0723-5186,2365-9920,0.1,Q4,Q4
FEMS Microbes,,2633-6685,4.2,Q2,Q2
FEMS MICROBIOLOGY ECOLOGY,0168-6496,1574-6941,4.1,Q2,Q2
FEMS MICROBIOLOGY LETTERS,0378-1097,1574-6968,2.0,Q4,Q4
FEMS MICROBIOLOGY REVIEWS,0168-6445,1574-6976,16.9,Q1,Q1
FEMS YEAST RESEARCH,1567-1356,1567-1364,3.5,Q2,Q2
Fennia-International Journal of Geography,0015-0010,1798-5617,1.0,Q3,Q3
Fermentation-Basel,,2311-5637,4.1,Q2,Q2
FERROELECTRICS,0015-0193,1563-5112,0.7,Q4,Q4
FERROELECTRICS LETTERS SECTION,0731-5171,1563-5228,1.0,Q4,Q4
FERTILITY AND STERILITY,0015-0282,1556-5653,8.1,Q1,Q1
Festival dell Architettura Magazine,2039-0491,2039-0491,<0.1,,
Fetal and Pediatric Pathology,1551-3815,1551-3823,0.8,Q4,Q4
FETAL DIAGNOSIS AND THERAPY,1015-3837,1421-9964,1.7,Q3,Q3
FEW-BODY SYSTEMS,0177-7963,1432-5411,1.2,Q3,Q3
FIBER AND INTEGRATED OPTICS,0146-8030,1096-4681,1.5,Q3,Q3
Fibers,,2079-6439,4.2,Q2,Q2
FIBERS AND POLYMERS,1229-9197,1875-0052,3.1,Q2,Q2|Q3
FIBONACCI QUARTERLY,0015-0517,0015-0517,0.2,Q4,Q4
FIBRE CHEMISTRY,0015-0541,1573-8493,0.2,Q4,Q4
FIBRES & TEXTILES IN EASTERN EUROPE,1230-3666,2300-7354,1.0,Q3,Q3
Fictions-Studi Sulla Narrativita,1721-3673,1724-045X,<0.1,,
FIDDLEHEAD,0015-0630,0015-0630,0.1,,
FIELD CROPS RESEARCH,0378-4290,1872-6852,7.9,Q1,Q1
Field Methods,1525-822X,1552-3969,1.5,Q2,Q2
Fieldwork in Religion,1743-0615,1743-0623,0.3,,
FIIB Business Review,2319-7145,2455-2658,2.3,Q3,Q3
Filigrane-Revue de Psychanalyse,1192-1412,1911-4656,<0.1,Q4,Q4
FILM CRITICISM,0163-5069,0163-5069,0.2,,
Film Fashion & Consumption,2044-2823,2044-2831,0.3,,
Film History,0892-2160,1553-3905,0.5,,
Film International,1651-6826,2040-3801,0.1,,
Film-Philosophy,1466-4615,1466-4615,0.6,,
FILM QUARTERLY,0015-1386,1533-8630,0.6,,
Filologia Mediolatina,1124-0008,,0.2,,
Filologicheskie Nauki-Nauchnye Doklady Vysshei Shkoly-Philological Sciences-Scientific Essays of Higher Education,2310-4287,2310-4287,0.1,,
Filomat,0354-5180,0354-5180,1.0,Q2,Q2|Q3
Filosofia Politica,0394-7297,0394-7297,0.1,,
Filosofia Unisinos,1519-5023,1984-8234,0.2,,
FILOSOFICKY CASOPIS,0015-1831,,0.2,,
Filosofija-Sociologija,0235-7186,0235-7186,0.3,Q4,Q4
Filosofiya-Philosophy,0861-6302,1314-8559,0.1,,
Filosofskii Zhurnal,2072-0726,2658-4883,0.2,,
FILOZOFIA,0046-385X,2585-7061,0.2,,
Filozofska Istrazivanja,0351-4706,0351-4706,0.1,,
FILOZOFSKI VESTNIK,0353-4510,1581-1239,0.1,,
Filtration + Separation,0015-1882,1873-7218,<0.1,Q4,Q4
FINANCE A UVER-CZECH JOURNAL OF ECONOMICS AND FINANCE,0015-1920,0015-1920,0.8,Q4,Q4
FINANCE AND STOCHASTICS,0949-2984,1432-1122,1.6,Q2,Q2|Q3
Finance Research Letters,1544-6123,1544-6131,7.1,Q1,Q1
Financial Accountability & Management,0267-4424,1468-0408,2.3,Q2,Q2
FINANCIAL ANALYSTS JOURNAL,0015-198X,1938-3312,2.2,Q2,Q2
Financial and Credit Activity-Problems of Theory and Practice,2306-4994,2310-8770,0.6,Q4,Q4
Financial History Review,0968-5650,1474-0052,1.2,Q1,Q1
Financial Innovation,,2199-4730,6.4,Q1,Q1
Financial Internet Quarterly,,2719-3454,0.6,Q4,Q4
FINANCIAL MANAGEMENT,0046-3892,1755-053X,7.5,Q1,Q1
Financial Markets and Portfolio Management,1934-4554,2373-8529,1.0,Q3,Q3
FINANCIAL REVIEW,0732-8516,1540-6288,2.1,Q2,Q2
FinanzArchiv-European Journal of Public Finance,0015-2218,1614-0974,0.3,Q4,Q4
Finisterra-Revista Portuguesa de Geografia,0430-5027,2182-2905,0.6,Q4,Q4
FINITE ELEMENTS IN ANALYSIS AND DESIGN,0168-874X,1872-6925,3.8,Q1,Q1|Q2
FINITE FIELDS AND THEIR APPLICATIONS,1071-5797,1090-2465,1.3,Q1,Q1|Q2
Finlay,2221-2434,2221-2434,0.1,Q4,Q4
FinTech,,2674-1032,2.8,Q1,Q1|Q2|Q3
FIRE AND MATERIALS,0308-0501,1099-1018,2.2,Q3,Q3
Fire Ecology,1933-9747,1933-9747,6.7,Q1,Q1
Fire Safety Journal,0379-7112,1873-7226,3.8,Q2,Q2
Fire-Switzerland,2571-6255,2571-6255,3.2,Q1,Q1|Q2
FIRE TECHNOLOGY,0015-2684,1572-8099,2.4,Q2,Q2|Q3
FirePhysChem,,2667-1344,5.1,Q2,Q2
First Language,0142-7237,1740-2344,2.2,Q1,Q1|Q2
First Peoples Child & Family Review,1708-489X,1708-489X,2.3,Q1,Q1
FISCAL STUDIES,0143-5671,1475-5890,1.3,Q3,Q3
FISH AND FISHERIES,1467-2960,1467-2979,6.3,Q1,Q1
Fish and Shellfish Immunology Reports,2667-0119,2667-0119,4.6,Q1,Q1|Q2
FISH PATHOLOGY,0388-788X,1881-7335,0.6,Q4,Q4
FISH PHYSIOLOGY AND BIOCHEMISTRY,0920-1742,1573-5168,3.0,Q2,Q2|Q3
FISH & SHELLFISH IMMUNOLOGY,1050-4648,1095-9947,4.2,Q1,Q1|Q2
FISHERIES,0363-2415,1548-8446,3.1,Q2,Q2
FISHERIES MANAGEMENT AND ECOLOGY,0969-997X,1365-2400,1.9,Q3,Q3
FISHERIES OCEANOGRAPHY,1054-6006,1365-2419,2.5,Q2,Q2
FISHERIES RESEARCH,0165-7836,1872-6763,2.6,Q2,Q2
FISHERIES SCIENCE,0919-9268,1444-2906,1.4,Q3,Q3
FISHERY BULLETIN,0090-0656,1937-4518,0.7,Q4,Q4
FISHERY TECHNOLOGY,0015-3001,0015-3001,0.3,Q4,Q4
Fishes,,2410-3888,2.9,Q1,Q1|Q2
Fitoterapia,0367-326X,1873-6971,2.9,Q2,Q2|Q3
Fixed Point Theory,1583-5022,2066-9208,1.1,Q2,Q2|Q3
Fixed Point Theory and Algorithms for Sciences and Engineering,,2730-5422,1.5,Q2,Q2
FlatChem,2452-2627,2452-2627,5.7,Q2,Q2
FLAVOUR AND FRAGRANCE JOURNAL,0882-5734,1099-1026,2.5,Q3,Q3
FLEISCHWIRTSCHAFT,0015-363X,0015-363X,0.5,Q4,Q4
Flexible and Printed Electronics,2058-8585,2058-8585,2.9,Q2,Q2|Q3
Flexible Services and Manufacturing Journal,1936-6582,1936-6590,3.5,Q2,Q2|Q3
FLORA,0367-2530,1618-0585,2.2,Q2,Q2|Q3
Flora Infeksiyon Hastaliklari ve Klinik Mikrobiyoloji Dergisi,1300-932X,2602-2842,0.2,Q4,Q4
Florence Nightingale Journal of Nursing,2687-6442,2687-6442,1.5,Q3,Q3
Floresta e Ambiente,2179-8087,2179-8087,0.8,Q4,Q4
FLORIDA ENTOMOLOGIST,0015-4040,1938-5102,1.5,Q2,Q2
Flow,,2633-4259,2.1,Q3,Q3
FLOW MEASUREMENT AND INSTRUMENTATION,0955-5986,1873-6998,3.3,Q2,Q2
FLOW TURBULENCE AND COMBUSTION,1386-6184,1573-1987,2.2,Q3,Q3
FLUCTUATION AND NOISE LETTERS,0219-4775,1793-6780,0.9,Q4,Q4
Flugmedizin Tropenmedizin Reisemedizin,1864-4538,1864-175X,0.2,Q4,Q4
Fluid Dynamics,0015-4628,1573-8507,0.7,Q4,Q4
FLUID DYNAMICS RESEARCH,0169-5983,1873-7005,1.0,Q4,Q4
FLUID PHASE EQUILIBRIA,0378-3812,1879-0224,2.7,Q2,Q2|Q3
Fluids,,2311-5521,2.1,Q3,Q3
Fluids and Barriers of the CNS,2045-8118,2045-8118,7.2,Q1,Q1
Fluminensia,0353-4642,1848-9680,0.1,,
FLUORIDE,0015-4725,2253-4083,0.8,Q4,Q4
FLY,1933-6934,1933-6942,1.4,Q4,Q4
FME Transactions,1451-2092,2406-128X,1.6,Q3,Q3
Focaal-Journal of Global and Historical Anthropology,0920-1297,1558-5263,2.3,Q1,Q1
Focus on Autism and Other Developmental Disabilities,1088-3576,1538-4829,1.0,Q4,Q4
Focus on Health Professional Education-A Multidisciplinary Journal,1442-1100,2204-7662,1.0,Q3,Q3
FOLIA BIOLOGICA,0015-5500,0015-5500,1.8,Q3,Q3|Q4
FOLIA BIOLOGICA-KRAKOW,0015-5497,1734-9168,0.9,Q4,Q4
FOLIA GEOBOTANICA,1211-9520,1874-9348,1.4,Q3,Q3
Folia Geographica,1336-6157,2454-1001,3.3,Q1,Q1
FOLIA HISTOCHEMICA ET CYTOBIOLOGICA,0239-8508,1897-5631,1.9,Q4,Q4
Folia Horticulturae,0867-1761,2083-5965,2.0,Q2,Q2
FOLIA LINGUISTICA,0165-4004,1614-7308,0.6,Q3,Q3
Folia Linguistica et Litteraria,1800-8542,1800-8542,0.1,,
FOLIA MALACOLOGICA,1506-7629,2300-7125,0.6,Q4,Q4
FOLIA MICROBIOLOGICA,0015-5632,1874-9356,3.1,Q3,Q3
FOLIA MORPHOLOGICA,0015-5659,1644-3284,1.4,Q3,Q3
FOLIA NEUROPATHOLOGICA,1641-4640,1509-572X,1.6,Q3,Q3|Q4
Folia Oecologica,1336-5266,1338-7014,1.6,Q3,Q3
FOLIA PARASITOLOGICA,0015-5683,1803-6465,2.0,Q3,Q3
FOLIA PHONIATRICA ET LOGOPAEDICA,1021-7762,1421-9972,1.2,Q3,Q3
FOLIA PRIMATOLOGICA,0015-5713,1421-9980,0.7,Q4,Q4
Folk Life-Journal of Ethnological Studies,0430-8778,1759-670X,0.8,,
FOLK MUSIC JOURNAL,0531-9684,,<0.1,,
Folklor/Edebiyat-Folklore/Literature,1300-7491,2791-6057,0.1,,
FOLKLORE,0015-587X,1469-8315,0.4,,
Folklore-Electronic Journal of Folklore,1406-0957,1406-0949,0.2,,
FONTES ARTIS MUSICAE,0015-6191,2471-156X,0.5,,
Fontes Linguae Vasconum,0046-435X,2530-5832,0.5,Q3,Q3
Food Additives and Contaminants Part A-Chemistry Analysis Control Exposure & Risk Assessment,1944-0049,1944-0057,2.5,Q3,Q3
Food Additives & Contaminants Part B-Surveillance,1939-3210,1939-3229,2.6,Q2,Q2|Q3
Food Analytical Methods,1936-9751,1936-976X,3.0,Q3,Q3
FOOD AND AGRICULTURAL IMMUNOLOGY,0954-0105,1465-3443,3.7,Q2,Q2
Food and Bioprocess Technology,1935-5130,1935-5149,5.6,Q1,Q1
FOOD AND BIOPRODUCTS PROCESSING,0960-3085,1744-3571,4.7,Q2,Q2
FOOD AND CHEMICAL TOXICOLOGY,0278-6915,1873-6351,3.2,Q2,Q2|Q3
Food and Energy Security,2048-3694,2048-3694,4.6,Q1,Q1|Q2
Food and Environmental Virology,1867-0334,1867-0342,2.4,Q3,Q3
Food and Foodways,0740-9710,1542-3484,1.0,Q2,Q2
Food and Humanity,,2949-8244,3.5,Q2,Q2
FOOD AND NUTRITION BULLETIN,0379-5721,1564-8265,2.3,Q3,Q3
Food and Waterborne Parasitology,2405-6766,2405-6766,2.6,Q1,Q1|Q2
Food Bioengineering,2770-2081,2770-2081,5.5,Q1,Q1
Food Biophysics,1557-1858,1557-1866,3.9,Q2,Q2
Food Bioscience,2212-4292,2212-4306,6.2,Q1,Q1
FOOD BIOTECHNOLOGY,0890-5436,1532-4249,1.9,Q3,Q3|Q4
Food Chemistry,0308-8146,1873-7072,10.4,Q1,Q1
Food Chemistry: Molecular Sciences,2666-5662,2666-5662,4.8,Q2,Q2
Food Chemistry-X,2590-1575,2590-1575,9.2,Q1,Q1
FOOD CONTROL,0956-7135,1873-7129,7.0,Q1,Q1
Food Culture & Society,1552-8014,1751-7443,1.4,Q3,Q3
Food Engineering Reviews,1866-7910,1866-7929,13.5,Q1,Q1
Food Frontiers,,2643-8429,6.3,Q1,Q1
Food & Function,2042-6496,2042-650X,6.3,Q1,Q1
FOOD HYDROCOLLOIDS,0268-005X,1873-7137,13.8,Q1,Q1
Food Hydrocolloids for Health,2667-0259,2667-0259,5.4,Q1,Q1|Q2
Food Innovation and Advances,,2836-774X,5.4,Q2,Q2
FOOD MICROBIOLOGY,0740-0020,1095-9998,5.4,Q1,Q1|Q2
Food & Nutrition Research,1654-6628,1654-661X,4.5,Q2,Q2
Food Packaging and Shelf Life,2214-2894,2214-2894,10.8,Q1,Q1
Food Physics,,2950-0699,7.5,Q1,Q1
FOOD POLICY,0306-9192,1873-5657,6.8,Q1,Q1
Food Production Processing and Nutrition,,2661-8974,6.3,Q1,Q1
Food Quality and Preference,0950-3293,1873-6343,5.9,Q1,Q1
Food Quality and Safety,2399-1399,2399-1402,4.9,Q2,Q2
FOOD RESEARCH INTERNATIONAL,0963-9969,1873-7145,8.8,Q1,Q1
FOOD REVIEWS INTERNATIONAL,8755-9129,1525-6103,6.8,Q1,Q1
Food Safety and Health,2835-1096,2835-1096,5.5,Q1,Q1
FOOD SCIENCE AND BIOTECHNOLOGY,1226-7708,2092-6456,3.9,Q2,Q2
Food Science and Human Wellness,,2213-4530,7.3,Q1,Q1
FOOD SCIENCE AND TECHNOLOGY INTERNATIONAL,1082-0132,1532-1738,1.8,Q3,Q3
FOOD SCIENCE AND TECHNOLOGY RESEARCH,1344-6606,1881-3984,0.7,Q4,Q4
Food Science & Nutrition,2048-7177,2048-7177,5.0,Q2,Q2
Food Science of Animal Resources,2636-0772,2636-0780,4.9,Q2,Q2
Food Security,1876-4517,1876-4525,4.5,Q2,Q2
Food Structure-Netherlands,2213-3291,2213-3291,7.1,Q1,Q1
FOOD TECHNOLOGY AND BIOTECHNOLOGY,1330-9862,1334-2606,2.9,Q3,Q3
Food Webs,2352-2496,2352-2496,1.7,Q3,Q3
Foodborne Pathogens and Disease,1535-3141,1556-7125,2.3,Q3,Q3
Foods,,2304-8158,6.0,Q1,Q1
Foods and Raw Materials,2308-4057,2310-9599,2.5,Q3,Q3
Foot and Ankle Clinics,1083-7515,1558-1934,1.6,Q3,Q3
Foot and Ankle Surgery,1268-7731,1460-9584,2.4,Q2,Q2
FOOT & ANKLE INTERNATIONAL,1071-1007,1944-7876,2.3,Q2,Q2
Foot & Ankle Specialist,1938-6400,1938-7636,1.7,Q3,Q3
Footwear Science,1942-4280,1942-4299,3.0,Q2,Q2
Forces in Mechanics,2666-3597,2666-3597,4.3,Q1,Q1|Q2
FORDHAM LAW REVIEW,0015-704X,0015-704X,1.2,Q2,Q2
Forecasting,,2571-9394,4.2,Q1,Q1
Foregut-The Journal of the American Foregut Society,,2634-5161,0.5,Q4,Q4
FOREIGN AFFAIRS,0015-7120,,4.7,Q1,Q1
FOREIGN LANGUAGE ANNALS,0015-718X,1944-9720,2.0,Q2,Q2
Foreign Policy Analysis,1743-8586,1743-8594,2.0,Q2,Q2
Foreign Trade Review,0015-7325,0971-7625,1.2,Q3,Q3|Q4
Forensic Chemistry,2468-1709,2468-1709,2.9,Q3,Q3
Forensic Imaging,2666-2264,2666-2256,0.9,Q4,Q4
Forensic Science International,0379-0738,1872-6283,2.6,Q1,Q1
Forensic Science International-Digital Investigation,,2666-2817,3.1,Q3,Q3
Forensic Science International-Genetics,1872-4973,1878-0326,3.6,Q1,Q1|Q2
Forensic Science International-Synergy,,2589-871X,3.2,Q1,Q1
Forensic Science Medicine and Pathology,1547-769X,1556-2891,1.6,Q3,Q3
Forensic Sciences,,2673-6756,1.5,Q3,Q3
Forensic Sciences Research,2096-1790,2471-1411,2.1,Q2,Q2
Forensic Toxicology,1860-8965,1860-8973,2.1,Q4,Q4
Forensische Psychiatrie Psychologie Kriminologie,1862-7072,1862-7080,1.0,Q4,Q4
Foresight,1463-6689,1465-9832,2.4,Q3,Q3
Foresight and STI Governance,1995-459X,2500-2597,1.1,Q3,Q3|Q4
Forest and Society,2549-4724,2549-4333,1.9,Q2,Q2
FOREST ECOLOGY AND MANAGEMENT,0378-1127,1872-7042,4.2,Q1,Q1
Forest Ecosystems,2095-6355,2197-5620,5.4,Q1,Q1
FOREST PATHOLOGY,1437-4781,1439-0329,1.3,Q3,Q3
Forest Policy and Economics,1389-9341,1872-7050,4.6,Q1,Q1|Q2
FOREST PRODUCTS JOURNAL,0015-7473,0015-7473,1.7,Q2,Q2|Q3
FOREST SCIENCE,0015-749X,1938-3738,2.2,Q2,Q2
Forest Science and Technology,2158-0103,2158-0715,2.5,Q2,Q2
Forest Systems,2171-5068,2171-9845,1.3,Q3,Q3
Forestist,2602-4039,1309-6257,1.1,Q3,Q3
FORESTRY,0015-752X,1464-3626,4.4,Q1,Q1
FORESTRY CHRONICLE,0015-7546,1499-9315,1.6,Q3,Q3
Forestry Research,,2767-3812,4.8,Q1,Q1
Forests,,1999-4907,3.1,Q2,Q2
Forests Trees and Livelihoods,1472-8028,2164-3075,1.5,Q3,Q3|Q4
Forma y Funcion,0120-338X,2256-5469,0.3,Q4,Q4
FORMAL ASPECTS OF COMPUTING,0934-5043,1433-299X,1.1,Q4,Q4
FORMAL METHODS IN SYSTEM DESIGN,0925-9856,1572-8102,1.0,Q3,Q3
Formalized Mathematics,1898-9934,1898-9934,0.7,Q3,Q3
Formath,,2188-5729,0.4,Q4,Q4
Formosan Journal of Surgery,1682-606X,2213-5413,0.6,Q4,Q4
Fornvannen-Journal of Swedish Antiquarian Research,0015-7813,1404-9430,0.4,Q2,Q2
Foro de Educacion,1698-7799,1698-7802,0.5,Q4,Q4
Foro de Profesores de E-LE,1886-337X,1886-337X,<0.1,Q4,Q4
Foro Educacional,0717-2710,0718-0772,0.1,Q4,Q4
Foro Internacional,0185-013X,2448-6523,0.3,Q4,Q4
Foro-Revista de Ciencias Juridicas y Sociales. NuevaEpoca,1698-5583,2255-5285,0.1,Q4,Q4
FORSCHUNG IM INGENIEURWESEN-ENGINEERING RESEARCH,0015-7899,1434-0860,1.8,Q2,Q2|Q3
FORTSCHRITTE DER NEUROLOGIE PSYCHIATRIE,0720-4299,1439-3522,0.5,Q4,Q4
FORTSCHRITTE DER PHYSIK-PROGRESS OF PHYSICS,0015-8208,1521-3978,5.4,Q1,Q1
Forum-A Journal of Applied Research in Contemporary Politics,2194-6183,1540-8884,1.1,Q3,Q3
FORUM DER PSYCHOANALYSE,0178-7667,1437-0751,0.3,Q3,Q3
FORUM FOR DEVELOPMENT STUDIES,0803-9410,1891-1765,1.2,Q4,Q4
FORUM FOR MODERN LANGUAGE STUDIES,0015-8518,1471-6860,0.3,,
Forum for Social Economics,0736-0932,1874-6381,0.9,Q3,Q3
Forum for World Literature Studies,1949-8519,2154-6711,0.1,,
FORUM ITALICUM,0014-5858,2168-989X,0.2,,
FORUM MATHEMATICUM,0933-7741,1435-5337,1.0,Q2,Q2|Q3
Forum of Mathematics Pi,2050-5086,2050-5086,2.6,Q1,Q1
Forum of Mathematics Sigma,,2050-5094,1.3,Q1,Q1|Q2
Forum-Revue Internationale d Interpretation et de Traduction-International Journal of Interpretation and Translation,1598-7647,2451-909X,0.5,,
Fossil Record,,2193-0074,2.0,Q1,Q1
Fotocinema-Revista Cientifica de Cine y Fotografia,2172-0150,2172-0150,0.3,,
Fottea,1802-5439,,1.9,Q3,Q3
Foundation Review,1944-5660,1944-5679,0.6,Q3,Q3
Foundations and Trends in Communications and Information Theory,1567-2190,1567-2328,3.9,Q2,Q2
Foundations and Trends in Computer Graphics and Vision,1572-2740,1572-2759,14.7,Q1,Q1
Foundations and Trends in Databases,1931-7883,1931-7891,1.9,Q3,Q3
Foundations and Trends in Electronic Design Automation,1551-3939,1551-3947,1.3,Q4,Q4
Foundations and Trends in Entrepreneurship,1551-3114,1551-3122,4.5,Q2,Q2
Foundations and Trends in Information Retrieval,1554-0669,1554-0677,4.4,Q2,Q2
Foundations and Trends in Machine Learning,1935-8237,1935-8245,36.6,Q1,Q1
Foundations and Trends in Marketing,1555-0753,1555-0761,1.0,Q4,Q4
Foundations and Trends in Networking,1554-057X,1554-0588,3.3,Q2,Q2
Foundations and Trends in Programming Languages,2325-1107,2325-1131,<0.1,Q4,Q4
Foundations and Trends in Signal Processing,1932-8346,1932-8354,5.9,Q1,Q1
Foundations and Trends in Systems and Control,2325-6818,2325-6826,1.4,Q4,Q4
Foundations and Trends in Theoretical Computer Science,1551-305X,1551-3068,2.0,Q2,Q2
Foundations of Chemistry,1386-4238,1572-8463,0.9,Q2,Q2
FOUNDATIONS OF COMPUTATIONAL MATHEMATICS,1615-3375,1615-3383,2.7,Q1,Q1|Q2
Foundations of Computing and Decision Sciences,0867-6356,2300-3405,0.9,Q4,Q4
Foundations of Data Science,,2639-8001,1.7,Q2,Q2
Foundations of Management,2080-7279,2300-5661,0.5,Q4,Q4
FOUNDATIONS OF PHYSICS,0015-9018,1572-9516,1.1,Q3,Q3
Foundations of Science,1233-1821,1572-8471,1.2,Q1,Q1
Fourrages,0429-2766,0429-2766,0.2,Q4,Q4
Fourth Genre-Explorations in Nonfiction,1522-3868,1544-1733,<0.1,,
Fractal and Fractional,,2504-3110,3.5,Q1,Q1
FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY,0218-348X,1793-6543,2.9,Q1,Q1|Q2
Fractional Calculus and Applied Analysis,1311-0454,1314-2224,3.1,Q1,Q1
FRAGMENTA ENTOMOLOGICA,0429-288X,2284-4880,0.8,Q3,Q3
Fragmentos de Filosofia,1132-3329,2173-6464,0.1,,
Framework-The Journal of Cinema and Media,0306-7661,1559-7989,0.5,,
FRANCAIS MODERNE,0015-9409,,<0.1,,
Francofonia-Studi e Ricerche sulle Letterature di Lingua Francese,1121-953X,2036-5659,<0.1,,
Frantsuzskii Ezhegodnik-Annuaire d Etudes Francaises,0235-4349,0235-4349,0.2,Q3,Q3
Frattura ed Integrita Strutturale-Fracture and Structural Integrity,,1971-8993,2.0,Q3,Q3|Q4
FREE RADICAL BIOLOGY AND MEDICINE,0891-5849,1873-4596,8.0,Q1,Q1
FREE RADICAL RESEARCH,1071-5762,1029-2470,3.1,Q3,Q3
French Colonial History,1539-3402,1543-7787,<0.1,Q4,Q4
French Cultural Studies,0957-1558,1740-2352,0.7,Q2,Q2
FRENCH FORUM,0098-9355,1534-1836,<0.1,,
FRENCH HISTORICAL STUDIES,0016-1071,1527-5493,0.5,Q1,Q1
French History,0269-1191,1477-4542,0.4,Q2,Q2
French Journal of Urology,2950-4201,2950-3930,1.2,Q4,Q4
French Politics,1476-3419,1476-3427,1.0,Q3,Q3
FRENCH REVIEW,0016-111X,2329-7131,0.1,,
French Screen Studies,2643-8941,2643-895X,0.4,,
FRENCH STUDIES,0016-1128,1468-2931,0.3,,
French Studies Bulletin,0262-2750,1748-9180,0.2,,
French Studies in Southern Africa,0259-0247,0259-0247,<0.1,,
French-Ukrainian Journal of Chemistry,2312-3222,2312-3222,0.4,Q4,Q4
FREQUENZ,0016-1136,2191-6349,0.9,Q4,Q4
FRESHWATER BIOLOGY,0046-5070,1365-2427,2.6,Q1,Q1|Q2
Freshwater Crayfish,2076-4324,2076-4332,0.2,Q4,Q4
Freshwater Science,2161-9549,2161-9565,1.4,Q3,Q3|Q4
Friction,2223-7690,2223-7704,8.1,Q1,Q1
Fronteras de la Historia,2027-4688,2539-4711,0.2,Q3,Q3
FRONTIERS-A JOURNAL OF WOMEN STUDIES,0160-9009,1536-0334,0.4,Q4,Q4
Frontiers in Aging,,2673-6217,4.9,Q2,Q2
Frontiers in Aging Neuroscience,1663-4365,1663-4365,5.2,Q1,Q1
Frontiers in Agronomy,,2673-3218,4.2,Q1,Q1
Frontiers in Allergy,,2673-6101,3.4,Q2,Q2
Frontiers in Analytical Science,,2673-9283,2.5,Q3,Q3
Frontiers in Animal Science,,2673-6225,2.8,Q1,Q1
Frontiers in Antibiotics,,2813-2467,3.9,Q2,Q2
Frontiers in Applied Mathematics and Statistics,,2297-4687,2.0,Q2,Q2
Frontiers in Artificial Intelligence,,2624-8212,6.7,Q1,Q1
Frontiers in Astronomy and Space Sciences,2296-987X,2296-987X,2.4,Q2,Q2
Frontiers in Behavioral Neuroscience,1662-5153,,3.4,Q1,Q1|Q2
Frontiers in Big Data,,2624-909X,3.8,Q1,Q1|Q2
Frontiers in Bioengineering and Biotechnology,2296-4185,2296-4185,5.8,Q1,Q1
Frontiers in Bioinformatics,,2673-7647,3.6,Q1,Q1
Frontiers in Bioscience-Landmark,2768-6701,2768-6698,4.1,Q2,Q2
Frontiers in Blockchain,2624-7852,2624-7852,3.1,Q3,Q3
Frontiers in Built Environment,,2297-3362,3.0,Q2,Q2
Frontiers in Cardiovascular Medicine,2297-055X,2297-055X,3.0,Q2,Q2
Frontiers in Cell and Developmental Biology,2296-634X,2296-634X,5.3,Q1,Q1|Q2
Frontiers in Cellular and Infection Microbiology,2235-2988,2235-2988,5.5,Q1,Q1
Frontiers in Cellular Neuroscience,,1662-5102,4.4,Q2,Q2
Frontiers in Chemical Engineering,,2673-2718,4.0,Q2,Q2
Frontiers in Chemistry,2296-2646,2296-2646,5.3,Q2,Q2
Frontiers in Child and Adolescent Psychiatry,,2813-4540,1.5,Q3,Q3|Q4
Frontiers in Climate,,2624-9553,3.9,Q2,Q2
Frontiers in Clinical Diabetes and Healthcare,,2673-6616,3.5,Q2,Q2
Frontiers in Cognition,,2813-4532,2.6,Q2,Q2
Frontiers in Communication,,2297-900X,2.0,Q2,Q2
Frontiers in Communications and Networks,,2673-530X,2.7,Q3,Q3
Frontiers in Computational Neuroscience,,1662-5188,3.3,Q1,Q1|Q2
Frontiers in Computer Science,,2624-9898,3.4,Q3,Q3
Frontiers in Conservation Science,,2673-611X,2.6,Q2,Q2|Q3
Frontiers in Dementia,,2813-3919,2.7,Q3,Q3
Frontiers in Dental Medicine,,2673-4915,2.7,Q2,Q2
Frontiers in Digital Health,,2673-253X,5.2,Q1,Q1|Q2
Frontiers in Drug Delivery,,2674-0850,4.4,Q2,Q2
Frontiers in Drug Discovery,,2674-0338,5.8,Q1,Q1
Frontiers in Earth Science,,2296-6463,2.3,Q3,Q3
Frontiers in Ecology and Evolution,2296-701X,2296-701X,3.2,Q2,Q2
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,1540-9295,1540-9309,6.5,Q1,Q1
Frontiers in Education,,2504-284X,2.6,Q1,Q1
Frontiers in Electronics,,2673-5857,1.8,Q3,Q3
Frontiers in Emergency Medicine,,2717-3593,1.0,Q3,Q3
Frontiers in Endocrinology,1664-2392,1664-2392,5.7,Q1,Q1
Frontiers in Energy,2095-1701,2095-1698,8.1,Q1,Q1
Frontiers in Environmental Archaeology,,2813-432X,2.1,Q3,Q3
Frontiers in Environmental Chemistry,,2673-4486,4.7,Q2,Q2|Q3
Frontiers in Environmental Economics,,2813-2823,2.6,Q2,Q2|Q3
Frontiers in Environmental Science,,2296-665X,4.4,Q2,Q2
Frontiers in Epidemiology,,2674-1199,2.9,Q2,Q2
Frontiers in Food Science and Technology,,2674-1121,3.8,Q2,Q2
Frontiers in Forests and Global Change,,2624-893X,4.3,Q1,Q1
Frontiers in Fungal Biology,,2673-6128,4.3,Q1,Q1
Frontiers in Future Transportation,,2673-5210,1.9,Q3,Q3|Q4
Frontiers in Gastroenterology,,2813-1169,1.2,Q4,Q4
Frontiers in Genetics,,1664-8021,3.0,Q2,Q2
